show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s6060-netflix,Movie,A Tale of Love and Darkness,Natalie Portman,"Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon","Israel, United States",25-Oct-19,2015,PG-13,98 min,"Dramas, International Movies","Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",
s6927-amazon,Movie,A Tale of Two Bunnies,Randall Miller,"Rhea Perlman, Marilu Henner, Kristin Booth, Julie Condra, Marina Black",,,2000,16+,85 min,"Comedy, Drama","Best friends Ruby and Holly are ordinary country girls who dream of fame and glamour. When they decide to quit their small town, dead-end seamstress jobs, the girls head to Chicago to audition as bunny girls. However, the elaborate training process proves harder, more demanding, and less glamorous than they had imagined.",
s568-disney,Movie,A Tale of Two Critters,Jack Speirs,Mayf Nutter,United States,3-Apr-20,1977,G,48 min,"Animals & Nature, Family",A bear cub and a raccoon become fast friends. See details for advisory.,
s3804-netflix,Movie,A Tale of Two Kitchens,Trisha Ziff,,"United States, Mexico",22-May-19,2019,TV-PG,30 min,"Documentaries, International Movies","Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",
s3389-amazon,Movie,A Talent For The Game,Robert M. Young,"Lorraine Bracco, Edward James Olmos, Jamey Sheridan",,,1991,PG,91 min,Drama,"Virgil Sweet is on the verge of losing his job as a talent scout with the California Angels when he discovers Sammy Bodeen, a country boy with no pro ball experience, but with a pitching arm no one has seen the like of.",
s8059-amazon,Movie,A Taste of Jupiter,Derek Diorio,"Peter Dillon, Eli Wallach, Teri Garr",,,2005,16+,98 min,Comedy,Everybody and their brother in Little Italy has a story. But eight people's lives are about to change as Jupiter and Venus come together in the night sky for a once in a lifetime event.,
s3388-amazon,Movie,A Taxi Driver,Jang Hoon,"Kang-ho Song, Thomas Kretschmann, Hae-jin Yoo, Jun-yeol Ryu",,,2017,,137 min,"Action, Drama, Suspense","In this powerful drama based on a true story, a down-on-his-luck taxi driver hired by a foreign journalist finds himself in a life-or-death struggle in the midst of the Gwanju Uprising.",
s6061-netflix,Movie,A Thin Line Between Love & Hate,Martin Lawrence,"Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown, Della Reese, Daryl Mitchell, Roger Mosley, Malinda Williams, Roger E. Mosley, Simbi Khali, Tangie Ambrose, Wendy Raquel Robinson, Stacii Jae Johnson, Faizon Love, Miguel A. Núñez Jr., Tracy Morgan",United States,1-Dec-20,1996,R,108 min,"Comedies, Romantic Movies","When a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life.",
s3783-netflix,TV Show,A Thousand Goodnights,,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li",Taiwan,1-Jun-19,2019,TV-14,1 Season,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",
s3935-amazon,Movie,A Thousand Junkies,Tommy Swerdlow,"Tommy Swerdlow, TJ Bowen, Blake Heron, Dinette de Freitas, Patricia Castelo Branco, Lucinda Jenny, Eric Natural, Savannah Mendel, Denise Cisneros, Karen Swerdlow, David Darmstaedter, Jerry Stahl, Steven Weber, Bill Pullman",,,2018,R,81 min,"Comedy, Drama","Things grow more and more desperate, and ridiculous, as three heroin addicts drive all over Los Angeles in search of what they need.",
s7349-amazon,Movie,A Thousand Things I'd Do For You,Dídac Cervera,,,,2017,16+,87 min,"Comedy, Romance","Monica breaks up with Dani because he loes a gift of great economic and sentimental value. Dani thinks finding the object will bring Monica back, and in the process finds himself in a thousand different problems.",
